Chanson;Connue;Enregistrée;Envie;Avancement
Sale petit bonhomme;1;0;1;50
Saturne;1;1;;100
Sauf le respect que je vous dois;1;1;;100
Le sceptique;0;0;;0
Si le Bon Dieu l'avait voulu;1;1;;100
Si seulement elle était jolie;1;1;;100
Stances à un cambrioleur;1;0;1;50
Supplique pour être enterré à la plage de Sète;1;1;;100
Sur la mort d'une cousine de sept ans;0;0;;0
Tant qu'il y a des Pyrénées;0;0;;0
Tempête dans un bénitier;1;0;1;50
Le temps ne fait rien à l'affaire;1;1;;100
Le temps passé;1;1;;100
Terre;0;0;;0
Le testament;1;1;;100
La tondue;1;0;1;50
Tonton Nestor;1;1;;100
Tout est au duc;1;0;;50
La traîtresse;1;1;;100
Trompe la mort;1;1;;100
Les trompettes de la renommée;1;1;;100
Tu t'en iras les pieds devant;0;0;;0
Le vent;1;1;;100
Vénus Callipyge;1;1;;100
Le verger du roi Louis;1;0;1;50
Verlaine;0;0;;0
Le vieux Léon;1;1;;100
Le vieux Normand;0;0;;0
Le vin;1;1;;100
Le vingt-deux septembre;1;1;;100
La visite;1;0;1;50
